Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES1: Generation 1010, Mean Error: 6536.2804836128225
ES3: Generation 720, Mean Error: 8208.211893912836
ES2: Generation 860, Mean Error: 7465.540011872837
ES0: Generation 1330, Mean Error: 6996.909859545148
ES1: Generation 1020, Mean Error: 6573.069735678559
ES2: Generation 870, Mean Error: 6741.8947892628785
ES3: Generation 730, Mean Error: 8353.982332054362
ES0: Generation 1340, Mean Error: 7742.187016608583
ES1: Generation 1030, Mean Error: 6816.203602566014
ES0: Generation 1350, Mean Error: 6762.5647740613795
ES2: Generation 880, Mean Error: 6678.4573322431415
ES3: Generation 740, Mean Error: 8696.617274085276
ES1: Generation 1040, Mean Error: 6828.601629775028
ES0: Generation 1360, Mean Error: 6876.79575956449
ES2: Generation 890, Mean Error: 6740.060272744253
ES0: Generation 1370, Mean Error: 6966.255535969924
ES1: Generation 1050, Mean Error: 7060.840759796762
ES3: Generation 750, Mean Error: 8247.161881308264
ES0: Generation 1380, Mean Error: 6690.884968072457
ES2: Generation 900, Mean Error: 6659.123745315218
ES1: Generation 1060, Mean Error: 7397.932402694354
ES0: Generation 1390, Mean Error: 6747.137487296028
ES3: Generation 760, Mean Error: 9276.441397280409
ES2: Generation 910, Mean Error: 6622.760779637332
ES1: Generation 1070, Mean Error: 7347.241791412178
ES0: Generation 1400, Mean Error: 6475.767377304254
ES1: Generation 1080, Mean Error: 7511.216041723571
ES0: Generation 1410, Mean Error: 6577.475868117951
ES3: Generation 770, Mean Error: 8031.656051144269
ES2: Generation 920, Mean Error: 6588.529867546685
ES0: Generation 1420, Mean Error: 6375.008080510543
ES1: Generation 1090, Mean Error: 7217.413240636793
ES2: Generation 930, Mean Error: 6566.991541754013
ES3: Generation 780, Mean Error: 7028.1963343158195
ES0: Generation 1430, Mean Error: 6194.007590869245
ES1: Generation 1100, Mean Error: 7213.442603138288
ES0: Generation 1440, Mean Error: 6176.465193029442
ES2: Generation 940, Mean Error: 6618.840194501021
ES3: Generation 790, Mean Error: 6977.898325476049
ES1: Generation 1110, Mean Error: 6965.425983235003
ES0: Generation 1450, Mean Error: 6406.547562237145
ES2: Generation 950, Mean Error: 6943.452282503793
ES0: Generation 1460, Mean Error: 6762.554038788129
ES1: Generation 1120, Mean Error: 7233.134986089462
ES3: Generation 800, Mean Error: 7116.107546068619
ES0: Generation 1470, Mean Error: 6543.708720328228
ES2: Generation 960, Mean Error: 6688.26549678606
ES1: Generation 1130, Mean Error: 8207.747682447696
ES0: Generation 1480, Mean Error: 6817.17696384464
ES3: Generation 810, Mean Error: 6928.324906835108
ES1: Generation 1140, Mean Error: 8097.728547681751
ES2: Generation 970, Mean Error: 6581.992163215215
ES0: Generation 1490, Mean Error: 6577.59357480271
ES1: Generation 1150, Mean Error: 7665.745898478054
ES0: Generation 1500, Mean Error: 6306.196196793639
ES3: Generation 820, Mean Error: 7044.717179056925
ES2: Generation 980, Mean Error: 6541.007157377164
ES0: Generation 1510, Mean Error: 6279.546483524656
ES1: Generation 1160, Mean Error: 7720.138169488993
ES2: Generation 990, Mean Error: 6604.113765525076
ES3: Generation 830, Mean Error: 6937.903204060859
ES0: Generation 1520, Mean Error: 6186.97691075999
ES1: Generation 1170, Mean Error: 7232.400034796086
ES0: Generation 1530, Mean Error: 6357.823984119142
ES2: Generation 1000, Mean Error: 6548.386182131521
ES3: Generation 840, Mean Error: 6746.644433098328
ES1: Generation 1180, Mean Error: 7657.325076604558
ES0: Generation 1540, Mean Error: 6214.834272221942
ES2: Generation 1010, Mean Error: 6472.459321125327
ES0: Generation 1550, Mean Error: 6300.650255316663
ES1: Generation 1190, Mean Error: 6892.5824774322855
ES3: Generation 850, Mean Error: 7072.106189841689
